title,open,rev,budget,ad,rating,scrn,sequel
JET LIS FEARLESS,9/22/2006,28056640,19362186,13820275,7.7,857,NoSeq
JOHN TUCKER MUST DIE,7/28/2006,46710376,20501138,13533486,5.5,735,NoSeq
JOHNNY ENGLISH,7/18/2003,35059132,49937580,21468790,5.8,750,NoSeq
JOHNSON FAMILY VACATION,4/7/2004,37914900,14580802,12194655,3.8,349,NoSeq
JUNGLE BOOK 2,2/14/2003,59802224,24968790,15164044,5.2,1137,NoSeq
JUST LIKE HEAVEN,9/16/2005,56778060,68155112,27823854,6.8,1468,NoSeq
JUST MARRIED,1/10/2003,70071360,22471910,30082768,5.1,838,NoSeq
JUST MY LUCK,5/12/2006,19734226,31890660,16032803,5,731,NoSeq
KANGAROO JACK,1/17/2003,83564248,74906368,32790262,5.1,993,NoSeq
KICKING AND SCREAMING,5/13/2005,62094856,52878964,35457464,5.4,1208,NoSeq
KILL BILL VOL 1,10/10/2003,87514416,37453184,8186642,8.2,482,NoSeq
KILL BILL VOL 2,4/16/2004,80447368,36452004,20296594,8.1,783,NoSeq
KING ARTHUR,7/7/2004,63040392,145808016,39327336,6.2,790,NoSeq
KING KONG,12/14/2005,256263248,243243248,51489568,7.7,1473,NoSeq
KINGDOM OF HEAVEN,5/6/2005,55697312,152761456,43350048,7.1,721,NoSeq
KINSEY,11/12/2004,12460485,13365735,14272054,7.2,147,NoSeq
KUNG FU HUSTLE,4/8/2005,20104102,23501762,22051350,7.7,382,NoSeq
LADDER 49,10/1/2004,90573152,72904008,38436572,6.5,950,NoSeq
LADY IN THE WATER,7/21/2006,48160784,79726648,34063212,5.8,1153,NoSeq
LADYKILLERS,3/26/2004,48358676,42527340,31847138,6.2,613,NoSeq
LAKE HOUSE,6/16/2006,59601492,45558088,33304216,6.9,998,NoSeq
LARA CROFT TOMB RAIDER,7/25/2003,81972776,118601744,52242716,5.3,977,NoSeq
LARRY THE CABLE GUY HEALTH INSPECTOR,3/24/2006,17858882,4555809,8063213,2.9,781,NoSeq
LAST HOLIDAY,1/13/2006,43735720,51252848,22433598,6.3,1355,NoSeq
LAST KING OF SCOTLAND,9/27/2006,20053170,6833713,13922322,7.8,151,NoSeq
LAST SAMURAI,12/5/2003,138735664,174781520,68084208,7.8,1173,NoSeq
LAWS OF ATTRACTION,4/30/2004,21714770,38882140,22065606,5.7,1228,NoSeq
LEAGUE OF EXTRAORDINARY GENTLEMEN,7/11/2003,82977784,97378280,36689888,5.4,797,NoSeq
LEGALLY BLONDE 2,7/2/2003,112592168,56179776,21273282,4.3,1389,NoSeq
LEGEND OF ZORRO,10/28/2005,54599320,88131608,29031374,5.7,1741,NoSeq
LEMONY SNICKETS A SERIES OF UNFORTUNATE EVENTS,12/17/2004,144148912,170109360,53528184,6.9,1134,NoSeq
LETTERS FROM IWO JIMA,12/20/2006,15667519,21640092,14850683,7.9,239,NoSeq
LIFE AQUATIC WITH STEVE ZISSOU,12/10/2004,29186394,60753340,24360878,7.2,428,NoSeq
LIFE OF DAVID GALE,2/21/2003,24913356,47440700,25334334,7.3,662,NoSeq
LITTLE BLACK BOOK,8/6/2004,25150264,42527340,20454554,5.2,1290,NoSeq
LITTLE MAN,7/14/2006,66793908,72892936,26711850,3.2,1471,NoSeq
LITTLE MISS SUNSHINE,7/26/2006,68213096,9111617,20187242,7.9,365,NoSeq
LIZZIE MCGUIRE MOVIE,5/2/2003,53351380,21223470,20776402,4.7,939,NoSeq
LONGEST YARD,5/27/2005,185804304,96357224,52178496,6.2,1216,NoSeq
LOONEY TUNES BACK IN ACTION,11/14/2003,26206446,99875160,36517228,5.9,913,NoSeq
LORD OF THE RINGS THE RETURN OF THE KING,12/17/2003,470695776,117353312,74705128,8.8,1476,Seq
LORD OF WAR,9/16/2005,28377946,58754408,16205994,7.7,1233,NoSeq
LORDS OF DOGTOWN,6/3/2005,13247376,29377204,31207286,6.9,1175,NoSeq
LOST IN TRANSLATION,9/12/2003,55662240,4993758,24545564,7.8,361,NoSeq
LOVE ACTUALLY,11/7/2003,74527024,49937580,43706496,7.7,672,NoSeq
LUCKY NUMBER SLEVIN,4/7/2006,25621260,30751708,18289976,7.8,508,NoSeq
MADAGASCAR,5/27/2005,227491792,91656872,52708704,6.5,1530,NoSeq
MALIBUS MOST WANTED,4/18/2003,42986520,18726592,26969916,4.8,876,NoSeq
MAN OF THE HOUSE,2/25/2005,23148890,23501762,18184608,5.3,1421,NoSeq
MAN OF THE YEAR,10/13/2006,42514112,22779044,31004670,6.2,1752,NoSeq
MAN ON FIRE,4/21/2004,94668016,85054680,32243624,7.6,867,NoSeq
MANCHURIAN CANDIDATE,7/30/2004,80140496,97205344,45402656,6.7,971,NoSeq
MARCH OF THE PENGUINS,6/24/2005,90995560,9400705,26890478,7.7,943,NoSeq
MARIE ANTOINETTE,10/20/2006,18180490,45558088,12565375,6.4,540,NoSeq
MARINE,10/13/2006,21463308,22779044,9282689,4.5,628,NoSeq
MASTER AND COMMANDER THE FAR SIDE OF THE WORLD,11/14/2003,117263320,187265920,18674034,7.5,804,NoSeq
MATADOR,12/30/2005,14799880,14688602,7058519,6.8,275,NoSeq
MATCH POINT,12/28/2005,27205086,17626322,12552996,7.8,349,NoSeq
MATRIX RELOADED,5/15/2003,351531168,187265920,41199380,7,931,Seq
MATRIX REVOLUTIONS,11/5/2003,173925024,187265920,37769908,6.4,968,Seq
MEAN GIRLS,4/30/2004,104566288,20656136,32095020,7,1043,NoSeq
MEDALLION,8/22/2003,27739316,51186016,20468040,4.7,1032,NoSeq
MEET THE FOCKERS,12/22/2004,339320960,97205344,47153100,6.4,1573,Seq
MEMOIRS OF A GEISHA,12/9/2005,67556416,99882488,40917396,7.2,735,NoSeq
MIAMI VICE,7/28/2006,72267048,153758544,30175738,6.1,1235,NoSeq
MILLION DOLLAR BABY,12/15/2004,122104744,36452004,44696960,8.1,967,NoSeq
MIRACLE,2/6/2004,78223688,34021872,34969868,7.4,1172,NoSeq
MISS CONGENIALITY 2,3/24/2005,56965928,70505288,33313044,4.8,1150,NoSeq
MISSING,11/26/2003,33721824,81148568,36242576,6.4,782,NoSeq
MISSION IMPOSSIBLE 3,5/5/2006,152653536,170842832,47644984,6.9,1996,Seq
MONA LISA SMILE,12/19/2003,79726520,81148568,46561816,6.1,1330,NoSeq
MONSTER,12/24/2003,43032720,9987516,12527466,7.3,419,NoSeq
MONSTER HOUSE,7/21/2006,83896368,85421416,30346470,6.9,1279,NoSeq
MONSTER IN LAW,5/13/2005,97451584,50528788,31597060,5.1,1116,NoSeq
MR 3000,9/17/2004,26502050,36452004,24898298,5.6,744,NoSeq
MR AND MRS SMITH,6/10/2005,218961552,129259696,32702820,6.4,942,NoSeq
MUNICH,12/23/2005,55703508,82256168,46614804,7.6,679,NoSeq
MUST LOVE DOGS,7/29/2005,51580332,35252644,32223854,5.9,914,NoSeq
MY BABYS DADDY,1/9/2004,21469400,14580802,10315431,4,453,NoSeq
MY BOSSS DAUGHTER,8/22/2003,19413988,17478152,14489511,4.3,682,NoSeq
MY SUPER EX GIRLFRIEND,7/21/2006,25660928,34168564,118451,5.4,646,NoSeq
MYSTIC RIVER,10/8/2003,112528328,31210986,71588832,8,728,NoSeq
NACHO LIBRE,6/16/2006,91341680,39863324,33385762,5.7,1207,NoSeq
NANNY MCPHEE,1/27/2006,53694888,28473804,26909794,6.7,1000,NoSeq
NAPOLEON DYNAMITE,6/11/2004,54120240,486027,19056016,6.8,359,NoSeq
NATIONAL TREASURE,11/19/2004,210217376,121506680,48558692,6.8,1050,NoSeq
NATIVITY STORY,12/1/2006,42858576,39863324,22255922,6.6,1848,NoSeq
NEW WORLD,12/25/2005,14937830,35252644,15136545,6.7,304,NoSeq
NEW YORK MINUTE,5/7/2004,17097742,36452004,23248726,3.9,1191,NoSeq
NIGHT AT THE MUSEUM,12/22/2006,285721248,125284736,40651368,6.4,1328,NoSeq
NORTH COUNTRY,10/21/2005,21548440,41128084,32311868,7.2,775,NoSeq
NOTEBOOK,6/25/2004,98422584,35236940,34211300,8,840,NoSeq
NOTES ON A SCANDAL,12/25/2006,19943186,17084282,17842028,7.4,180,NoSeq
NOWHERE IN AFRICA,3/7/2003,7715606,11735331,865418,7.5,44,NoSeq
OCEANS TWELVE,12/10/2004,152544688,133657352,46854196,6,1457,Seq
OLD SCHOOL,2/21/2003,94363408,29962546,36962736,7,1103,NoSeq
OMEN,6/6/2006,62195196,28473804,20158546,5.4,755,Seq
ONCE UPON A TIME IN MEXICO,9/12/2003,70361776,36204744,28214108,6.2,1125,Seq
ONE NIGHT WITH THE KING,10/13/2006,15257359,22779044,2883485,6,520,NoSeq
OPEN RANGE,8/15/2003,72823040,27465668,26012608,7.5,925,NoSeq
OPEN SEASON,9/29/2006,96930816,96810936,40967764,6.1,2209,NoSeq
OPEN WATER,8/6/2004,37194244,607533,14548480,5.8,1015,NoSeq
OUT OF TIME,10/3/2003,51296936,62421972,29848064,6.5,705,NoSeq
OVER THE HEDGE,5/19/2006,176559616,91116176,47850004,7,1560,NoSeq
PACIFIER,3/4/2005,132887040,65804936,32947710,5.3,1382,NoSeq
PANS LABYRINTH,12/29/2006,42864028,21640092,12784623,8.3,324,NoSeq
PAPARAZZI,9/3/2004,19093844,24301336,8595747,5.7,632,NoSeq
PASSION OF THE CHRIST,2/25/2004,449908384,36452004,37251644,7.2,1565,NoSeq
PAYCHECK,12/25/2003,67154120,74906368,48666048,6.1,917,NoSeq
PERFECT MAN,6/17/2005,19430088,11750881,19133256,5.1,814,NoSeq
PERFECT SCORE,1/30/2004,12625763,24301336,22532562,5.3,816,NoSeq
PETER PAN,12/25/2003,60502632,124843944,37886264,7.1,1002,NoSeq
PHANTOM OF THE OPERA,12/22/2004,62295036,85054680,1128068,7.3,616,NoSeq
PHONE BOOTH,4/4/2003,58135096,16229713,24471784,7.2,781,NoSeq
PINK PANTHER,2/10/2006,93652024,91116176,25128472,5,2000,Seq
PIRATES OF THE CARIBBEAN,7/9/2003,381290784,174781520,51880144,8,1418,NoSeq
PIRATES OF THE CARIBBEAN DEAD MANS CHEST,7/7/2006,482136448,256264240,45279396,7.3,1563,Seq
POLAR EXPRESS,11/10/2004,197782944,200486032,60804636,6.7,1735,NoSeq
POOHS HEFFALUMP MOVIE,2/11/2005,21267254,23501762,12626674,6.3,1027,NoSeq
POSEIDON,5/12/2006,69105712,182232352,48723236,5.6,1321,NoSeq
PRESTIGE,10/20/2006,60466848,45558088,26974032,8.4,804,NoSeq
PRIDE AND PREJUDICE,11/11/2005,45129364,32902468,14127732,7.7,540,NoSeq
PRIME,10/28/2005,26823916,25851938,20470976,6.3,1068,NoSeq
PRINCE AND ME,4/2/2004,34236328,26731470,28579350,5.6,942,NoSeq
PRINCESS DIARIES 2,8/11/2004,115638496,48602672,28254798,5.3,1142,NoSeq
PRODUCERS,12/16/2005,22794984,52878964,27602818,6.2,502,NoSeq
PROTECTOR,9/8/2006,13717639,5694761,8715034,6.9,579,NoSeq
PULSE,8/11/2006,23080224,23348520,15379614,4.5,885,NoSeq
PUNISHER,4/16/2004,41081640,40097204,18916892,6.4,783,NoSeq
PURSUIT OF HAPPYNESS,12/15/2006,186294368,62642368,40499884,7.7,2006,NoSeq
QUEEN,9/30/2006,64284408,17084282,35241056,7.4,478,NoSeq
RACING STRIPES,1/14/2005,58487100,35252644,33451234,5.2,1147,NoSeq
RADIO,10/24/2003,65335504,43695380,37775284,6.9,1097,NoSeq
RAISE YOUR VOICE,10/8/2004,12651252,18226002,16039124,5.2,1084,NoSeq
RAISING HELEN,5/28/2004,45548616,60753340,36332324,5.7,700,NoSeq
RAY,10/29/2004,91532928,48602672,40235840,7.8,848,NoSeq
REBOUND,7/1/2005,19752072,38895416,26395648,4.7,612,NoSeq
RED EYE,8/19/2005,68027968,30552292,25945358,6.5,2149,NoSeq
RENT,11/23/2005,34168680,47003524,34247704,6.9,1343,NoSeq
RESIDENT EVIL APOCALYPSE,9/10/2004,62213188,54678008,20883358,5.7,1745,Seq
RING TWO,3/18/2005,89578432,70505288,27340656,5.1,1982,NoSeq
ROBOTS,3/11/2005,150646320,88131608,46823024,6.4,1074,NoSeq
ROCKY BALBOA,12/20/2006,80035240,27334852,27116742,5.5,1060,Seq
ROLL BOUNCE,9/23/2005,20424050,11750881,10455346,5.4,377,NoSeq
RUGRATS GO WILD,6/13/2003,49191724,31210986,33276404,5,976,Seq
RUNAWAY JURY,10/17/2003,61727376,74906368,31849938,7.1,794,NoSeq
RUNDOWN,9/26/2003,59583448,106117352,32046440,6.6,1149,NoSeq
RV,4/28/2006,81692512,56947608,29855240,7.4,1386,NoSeq
SAHARA,4/8/2005,80695568,152761456,41567208,6,1161,NoSeq
SANTA CLAUSE 3 THE ESCAPE CLAUSE,11/3/2006,96241600,13667426,29862072,4.2,1573,Seq
SAVED,5/28/2004,10863405,6075334,8016403,7,212,NoSeq
SAW,10/29/2004,67053516,1458080,12828552,7.7,1297,NoSeq
SAW 2,10/28/2005,102279632,4700353,18217862,6.9,1436,Seq
SAW 3,10/27/2006,91388072,11389522,12918338,6.4,1901,Seq
SCARY MOVIE 3,10/24/2003,137332352,59925092,29369786,5.4,1104,Seq
SCARY MOVIE 4,4/14/2006,103315056,51252848,22159796,5.1,1142,Seq
SCHOOL FOR SCOUNDRELS,9/29/2006,20281970,39863324,24296924,6,744,NoSeq
SCHOOL OF ROCK,10/3/2003,101449656,43695380,43460548,7.3,953,NoSeq
SCOOBY DOO 2 MONSTERS UNLEASHED,3/26/2004,102329080,97205344,35189672,4.8,1011,NoSeq
SEABISCUIT,7/25/2003,150159616,108614232,44459176,7.4,1185,NoSeq
SECONDHAND LIONS,9/19/2003,52523020,37453184,26203244,7.5,1317,NoSeq
SECRET WINDOW,3/12/2004,58351032,48602672,26488096,6.5,1058,NoSeq
SEE NO EVIL,5/19/2006,17121640,9111617,3993280,5,744,NoSeq
SEED OF CHUCKY,11/12/2004,20757876,14580802,15243255,5.1,1096,Seq
SENTINEL,4/21/2006,41321980,68337128,19624602,6.1,776,NoSeq
SERENITY,9/30/2005,29981806,45828436,26862632,8,1090,NoSeq
SHAGGY DOG,3/10/2006,69616824,56947608,30618794,4.2,918,NoSeq
SHALL WE DANCE,10/15/2004,70340776,60753340,21342282,6.1,927,NoSeq
SHANGHAI KNIGHTS,2/7/2003,75501712,62421972,29814610,6.2,895,NoSeq
SHARK TALE,10/1/2004,195457968,91130016,54149464,5.9,1913,NoSeq
SHAUN OF THE DEAD,9/24/2004,16455497,6075334,9898421,8,417,NoSeq
SHES THE MAN,3/17/2006,38429536,22779044,18431438,6.4,1124,NoSeq
SHREK 2,5/19/2004,536119392,182260032,51321764,7.6,2133,Seq
SIDEWAYS,10/22/2004,86881640,19441070,37120900,7.4,527,NoSeq
SILENT HILL,4/21/2006,53510972,56947608,21132802,6.5,1322,NoSeq
SIN CITY,4/1/2005,87078520,47003524,29788012,8.4,840,NoSeq
SINBAD LEGEND OF THE SEVEN SEAS,7/2/2003,33062986,74906368,28095506,6.6,811,NoSeq
SISTERHOOD OF THE TRAVELING PANTS,6/1/2005,45890788,29377204,31946648,6.9,758,NoSeq
SKELETON KEY,8/12/2005,56295788,50528788,24016214,6.5,1321,NoSeq
SKY CAPTAIN AND THE WORLD OF TOMORROW,9/17/2004,45884176,85054680,33556868,6.3,1002,NoSeq
SKY HIGH,7/29/2005,75143144,41128084,23260516,6.6,1033,NoSeq
SLEEPOVER,7/9/2004,11465844,12150668,14574848,4.6,966,NoSeq
SNAKES ON A PLANE,8/18/2006,38748080,37585420,18841230,6,993,NoSeq
SOMETHINGS GOTTA GIVE,12/12/2003,155716272,99875160,56690512,6.8,1479,NoSeq
SON OF THE MASK,2/18/2005,19998146,98707400,25911634,2,896,NoSeq
SOUL PLANE,5/28/2004,17242710,19441070,12832200,3.7,730,NoSeq
SPANGLISH,12/17/2004,51916000,97205344,45991616,6.7,1794,NoSeq
SPIDER MAN 2,6/30/2004,453931744,243013360,53438144,7.8,1468,Seq
SPONGEBOB SQUAREPANTS MOVIE,11/19/2004,103788560,36452004,45019924,6.8,1159,NoSeq
STAR WARS EPISODE 3,5/19/2005,446851456,132784960,43309620,7.9,1223,Seq
STARSKY AND HUTCH,3/5/2004,107214768,72904008,40197936,6.2,1100,NoSeq
STAY ALIVE,3/24/2006,26294396,10250569,6066173,4.6,556,NoSeq
STEALTH,7/29/2005,37740008,158636896,33770740,4.8,1689,NoSeq
STEP UP,8/11/2006,74405608,13667426,24451142,5.9,1538,NoSeq
STEPFORD WIVES,6/11/2004,72277936,109356016,44152368,5.1,905,NoSeq
STICK IT,4/28/2006,30650042,22779044,16752050,5.9,677,NoSeq
STRANGER THAN FICTION,11/10/2006,46310880,34168564,27652958,7.8,1732,NoSeq
STUCK ON YOU,12/12/2003,42238128,68664168,30604370,5.9,959,NoSeq
SUPER BABIES,8/27/2004,11202173,24301336,11234145,1.4,924,NoSeq
SUPER SIZE ME,5/7/2004,14017525,78979,2558688,7.3,110,NoSeq
SUPERMAN RETURNS,6/28/2006,227882912,307517088,50246812,6.8,1231,Seq
SUSPECT ZERO,8/27/2004,10602446,32806804,6472782,5.8,590,NoSeq
SWAT,8/8/2003,145985824,99875160,38807492,5.9,1354,NoSeq
SWIMMING POOL,7/2/2003,12646826,9737828,5878028,6.8,150,NoSeq
SYRIANA,11/23/2005,59723408,58754408,40838312,7,623,NoSeq
TAKE THE LEAD,4/7/2006,39569552,34168564,21555582,6.5,1437,NoSeq
TAKING LIVES,3/19/2004,39711228,54678008,28834022,5.9,893,NoSeq
TALLADEGA NIGHTS,8/4/2006,168807952,82574032,32072664,6.5,2263,NoSeq
TAXI,10/6/2004,44484892,30376670,25272780,4.2,661,NoSeq
TEAM AMERICA,10/15/2004,39837272,38882140,26574726,7.3,846,NoSeq
TEARS OF THE SUN,3/7/2003,54600344,93632960,44271788,6.4,1211,NoSeq
TERMINAL,6/18/2004,94620760,72904008,41374984,7.1,1388,NoSeq
TERMINATOR 3 RISE OF THE MACHINES,7/2/2003,187729232,249687888,48861676,6.7,1180,Seq
TEXAS CHAINSAW MASSACRE,10/17/2003,100588832,11860175,28952308,6,938,Seq
TEXAS CHAINSAW MASSACRE THE BEGINNING,10/6/2006,45008840,18223234,12123007,5.8,865,Seq
THANK YOU FOR SMOKING,3/17/2006,28238620,7403189,20009230,7.6,225,NoSeq
TIM BURTONS CORPSE BRIDE,9/16/2005,62701660,47003524,32477440,7.3,1176,NoSeq
TIMELINE,11/26/2003,24322026,99875160,40001740,5.3,772,NoSeq
TORQUE,1/16/2004,25777714,48602672,26307532,3.5,652,NoSeq
TRANSAMERICA,12/2/2005,10593776,1175088,4742186,7.4,111,NoSeq
TRANSPORTER 2,9/2/2005,50641428,37602820,17648296,6.1,782,Seq
TRIPLETS OF BELLEVILLE,11/26/2003,8748001,9987516,3246443,7.7,71,NoSeq
TRISTAN AND ISOLDE,1/13/2006,16782042,35307516,11501822,7,475,NoSeq
TROY,5/14/2004,162063488,212636688,43289684,6.9,1247,NoSeq
TUPAC RESURRECTION,11/14/2003,9636655,62422,8253308,7.7,421,NoSeq
TWISTED,2/27/2004,30617980,60753340,27584326,4.9,825,NoSeq
TWO BROTHERS,6/25/2004,23301038,116391248,23556984,6.8,737,NoSeq
TWO FOR THE MONEY,10/7/2005,27016896,41128084,25878612,6.1,1259,NoSeq
TYLER PERRYS MADEAS FAMILY REUNION,2/24/2006,72047768,6833713,11871413,4.1,1058,Seq
ULTRAVIOLET,3/3/2006,21111404,34168564,18969248,4,1497,NoSeq
UNACCOMPANIED MINORS,12/8/2006,18969504,28473804,34001936,3.9,693,NoSeq
UNDER THE TUSCAN SUN,9/26/2003,54445348,22471910,27967292,6.7,573,NoSeq
UNDERWORLD,9/19/2003,64882260,27465668,31350184,6.6,1218,NoSeq
UNDERWORLD EVOLUTION,1/20/2006,70978216,56947608,25139176,6.6,1647,Seq
UNITED 93,4/28/2006,35858144,17084282,27674602,7.9,903,NoSeq
UNLEASHED,5/13/2005,28833868,52878964,16968862,7.1,716,NoSeq
UPSIDE OF ANGER,3/11/2005,22046996,14101058,14876028,6.8,424,NoSeq
UPTOWN GIRLS,8/15/2003,46420092,24968790,16457927,5.7,1024,NoSeq
V FOR VENDETTA,3/17/2006,80308696,61503416,42409800,8.2,1027,NoSeq
VALIANT,8/19/2005,22888492,41128084,16952880,5.6,778,NoSeq
VAN HELSING,5/7/2004,146023184,194410688,50918584,5.4,1325,NoSeq
VANITY FAIR,9/1/2004,19606896,27946538,17229040,6.2,478,NoSeq
VIEW FROM THE TOP,3/21/2003,19493134,37453184,19766918,5,861,NoSeq
VILLAGE,7/30/2004,138757616,72904008,33552614,6.6,958,NoSeq
VOLVER,11/3/2006,14692331,10706150,5789862,7.6,112,NoSeq
WAITING,10/7/2005,18947760,3525265,10558168,6.9,836,NoSeq
WALK THE LINE,11/18/2005,140445824,32902468,44757344,8,1124,NoSeq
WALKING TALL,4/2/2004,56424928,55893076,28789550,6,1278,NoSeq
WALLACE AND GROMIT THE CURSE OF THE WERE RABBIT,10/5/2005,65935248,35252644,34556992,7.8,1481,NoSeq
WAR OF THE WORLDS,6/29/2005,275300064,155111632,52386012,6.6,1127,NoSeq
WE ARE MARSHALL,12/22/2006,49596088,74031888,40078132,7.1,1240,NoSeq
WEATHER MAN,10/28/2005,14668361,25851938,16495066,6.9,654,NoSeq
WEDDING CRASHERS,7/15/2005,245894144,47003524,43010104,7.2,1363,NoSeq
WEDDING DATE,2/4/2005,37282016,17626322,23892714,5.5,984,NoSeq
WELCOME TO MOOSEPORT,2/20/2004,17583168,36452004,22616524,5.2,695,NoSeq
WHALE RIDER,6/6/2003,25942154,4369538,10157303,7.7,245,NoSeq
WHAT A GIRL WANTS,4/4/2003,45075448,31210986,27369040,5.7,1268,NoSeq
WHEN A STRANGER CALLS,2/3/2006,54510496,17084282,17858428,4.7,1773,NoSeq
WHITE CHICKS,6/23/2004,86065320,44957472,28945324,4.9,1189,NoSeq
WHITE NOISE,1/7/2005,66259412,11750881,24643714,5.4,1557,NoSeq
WHOLE TEN YARDS,4/9/2004,19840184,48602672,28904496,5.1,772,NoSeq
WICKER MAN,9/1/2006,26935224,45558088,24337246,3.6,973,NoSeq
WICKER PARK,9/3/2004,15797396,36452004,9806683,6.9,1804,NoSeq
WILD,4/14/2006,42578640,91116176,21626538,5.4,764,NoSeq
WILLARD,3/14/2003,8596865,24968790,9279650,6.2,518,NoSeq
WIMBLEDON,9/17/2004,20657512,37667072,26374966,6.3,1197,NoSeq
WIN A DATE WITH TAD HAMILTON,1/23/2004,20743574,26731470,29886634,5.7,1147,NoSeq
WINGED MIGRATION,4/18/2003,13438704,47365792,1630337,8,71,NoSeq
WITHOUT A PADDLE,8/20/2004,70679616,23086270,27809840,5.7,965,NoSeq
WOLF CREEK,12/25/2005,19022538,1175088,10586486,6.3,519,NoSeq
WORLD TRADE CENTER,8/9/2006,80044296,74031888,35435760,6.5,1718,NoSeq
WRONG TURN,5/30/2003,19249426,15730337,11644196,6,340,NoSeq
X MEN THE LAST STAND,5/26/2006,266927632,239179952,37630640,7,1156,Seq
X2 X MEN UNITED,5/2/2003,268351680,137328336,43201000,7.9,1171,Seq
XXX STATE OF THE UNION,4/29/2005,31579238,132902464,29783076,4.1,2198,NoSeq
YOU GOT SERVED,1/30/2004,49044728,9720535,15987362,2.6,680,NoSeq
YOU ME AND DUPREE,7/14/2006,86136800,61503416,29816514,5.6,1276,NoSeq
YOURS MINE AND OURS,11/23/2005,62764820,52878964,37395180,4.7,1411,NoSeq
YU GI OH THE MOVIE,8/13/2004,24016850,24301336,11311056,2.8,1004,NoSeq
ZATHURA,11/11/2005,34381748,76380728,35062512,6.2,2307,NoSeq
ZOOM,8/11/2006,13655271,39863324,17841116,3.6,1088,NoSeq
